category,description
iot_exploitation,"Default credential attack against network-connected security cameras."
iot_exploitation,"Exploiting unpatched vulnerabilities in industrial control systems."
iot_exploitation,"Mirai-like botnet recruiting vulnerable IoT devices for DDoS attacks."
iot_exploitation,"Ransomware targeting smart building management systems."
supply_chain_attack,"Compromising software or hardware before delivery. Example: Malware inserted into legitimate software updates."
supply_chain_attack,"Compromised software update server distributing trojanized applications."
supply_chain_attack,"Malicious code inserted into open-source library dependencies."
supply_chain_attack,"Hardware implants in network equipment during manufacturing."
supply_chain_attack,"Compromised build server injecting backdoors into compiled software."
cryptojacking,"Unauthorized use of computing resources for cryptocurrency mining. Example: Website running crypto mining script in background."
cryptojacking,"Browser-based cryptojacking through malicious JavaScript code."
cryptojacking,"Container escape allowing cryptominer to access host resources."
cryptojacking,"Cloud instance compromise for large-scale cryptocurrency mining."
cryptojacking,"Cryptominer spreading through network shares and removable drives."
data_breach,"Unauthorized access to sensitive data. Example: Hackers stealing customer records from database."
data_breach,"Exposed database without authentication allowing public access to records."
data_breach,"Compromised backup server containing unencrypted sensitive data."
data_breach,"Misconfigured cloud storage bucket exposing confidential documents."
data_breach,"Insider copying customer database to personal storage device."
privilege_escalation,"Gaining higher-level access than authorized. Example: Exploiting system vulnerability to get admin rights."
privilege_escalation,"Kernel-level exploit allowing transition to SYSTEM privileges."
privilege_escalation,"Abuse of sudo configuration to execute arbitrary commands."
privilege_escalation,"Exploiting service account permissions for domain admin access."
privilege_escalation,"Container breakout to host system through kernel vulnerability."
watering_hole,"Compromising frequently visited websites. Example: Hacking news site to infect visitors."
watering_hole,"Compromised industry-specific forum serving exploit kits to visitors."
watering_hole,"Malicious advertisements on legitimate news websites."
watering_hole,"Hacked software download site distributing trojanized applications."
watering_hole,"Compromised industry blog serving malware to targeted visitors."
fileless_malware,"Malware running in memory without files. Example: PowerShell script executing malicious code in RAM."
fileless_malware,"Malicious WMI subscription executing code in memory."
fileless_malware,"Registry-based persistence with encoded payload in registry values."
fileless_malware,"Living-off-the-land binary execution through signed system tools."
fileless_malware,"Memory-only malware using process hollowing technique."
domain_spoofing,"Creating fake domains similar to legitimate ones. Example: Registering paypa1.com instead of paypal.com."
domain_spoofing,"Homograph attack using internationalized domain names."
domain_spoofing,"Typosquatting domains targeting common misspellings."
domain_spoofing,"Subdomain takeover of expired cloud service instances."
domain_spoofing,"DNS cache poisoning redirecting legitimate domains." 
